claimID,document_citation_count,document_influential_citation_count,author_paper_counts,author_citation_counts,author_h_indices,publish_date,majority,weighted
16,0.000,0.000,0.000,0.000,0.000,0.000,0.895,0.000
16,0.000,0.000,0.000,0.000,0.000,0.200,0.895,0.380
16,0.000,0.000,0.000,0.000,0.000,0.400,0.895,0.380
16,0.000,0.000,0.000,0.000,0.000,0.600,0.895,0.380
16,0.000,0.000,0.000,0.000,0.000,0.800,0.895,0.380
16,0.000,0.000,0.000,0.000,0.000,1.000,0.895,0.380
16,0.000,0.000,0.000,0.000,0.200,0.000,0.895,0.209
16,0.000,0.000,0.000,0.000,0.200,0.200,0.895,0.509
16,0.000,0.000,0.000,0.000,0.200,0.400,0.895,0.467
16,0.000,0.000,0.000,0.000,0.200,0.600,0.895,0.438
16,0.000,0.000,0.000,0.000,0.200,0.800,0.895,0.423
16,0.000,0.000,0.000,0.000,0.200,1.000,0.895,0.415
16,0.000,0.000,0.000,0.000,0.400,0.000,0.895,0.209
16,0.000,0.000,0.000,0.000,0.400,0.200,0.895,0.376
16,0.000,0.000,0.000,0.000,0.400,0.400,0.895,0.509
16,0.000,0.000,0.000,0.000,0.400,0.600,0.895,0.492
16,0.000,0.000,0.000,0.000,0.400,0.800,0.895,0.467
16,0.000,0.000,0.000,0.000,0.400,1.000,0.895,0.449
16,0.000,0.000,0.000,0.000,0.600,0.000,0.895,0.209
16,0.000,0.000,0.000,0.000,0.600,0.200,0.895,0.309
16,0.000,0.000,0.000,0.000,0.600,0.400,0.895,0.442
16,0.000,0.000,0.000,0.000,0.600,0.600,0.895,0.509
16,0.000,0.000,0.000,0.000,0.600,0.800,0.895,0.497
16,0.000,0.000,0.000,0.000,0.600,1.000,0.895,0.484
16,0.000,0.000,0.000,0.000,0.800,0.000,0.895,0.209
16,0.000,0.000,0.000,0.000,0.800,0.200,0.895,0.276
16,0.000,0.000,0.000,0.000,0.800,0.400,0.895,0.376
16,0.000,0.000,0.000,0.000,0.800,0.600,0.895,0.475
16,0.000,0.000,0.000,0.000,0.800,0.800,0.895,0.509
16,0.000,0.000,0.000,0.000,0.800,1.000,0.895,0.499
16,0.000,0.000,0.000,0.000,1.000,0.000,0.895,0.209
16,0.000,0.000,0.000,0.000,1.000,0.200,0.895,0.256
16,0.000,0.000,0.000,0.000,1.000,0.400,0.895,0.336
16,0.000,0.000,0.000,0.000,1.000,0.600,0.895,0.415
16,0.000,0.000,0.000,0.000,1.000,0.800,0.895,0.495
16,0.000,0.000,0.000,0.000,1.000,1.000,0.895,0.509
16,0.000,0.000,0.000,0.200,0.000,0.000,0.895,0.119
16,0.000,0.000,0.000,0.200,0.000,0.200,0.895,0.463
16,0.000,0.000,0.000,0.200,0.000,0.400,0.895,0.438
16,0.000,0.000,0.000,0.200,0.000,0.600,0.895,0.418
16,0.000,0.000,0.000,0.200,0.000,0.800,0.895,0.409
16,0.000,0.000,0.000,0.200,0.000,1.000,0.895,0.403
16,0.000,0.000,0.000,0.200,0.200,0.000,0.895,0.164
16,0.000,0.000,0.000,0.200,0.200,0.200,0.895,0.339
16,0.000,0.000,0.000,0.200,0.200,0.400,0.895,0.486
16,0.000,0.000,0.000,0.200,0.200,0.600,0.895,0.476
16,0.000,0.000,0.000,0.200,0.200,0.800,0.895,0.452
16,0.000,0.000,0.000,0.200,0.200,1.000,0.895,0.438
16,0.000,0.000,0.000,0.200,0.400,0.000,0.895,0.179
16,0.000,0.000,0.000,0.200,0.400,0.200,0.895,0.286
16,0.000,0.000,0.000,0.200,0.400,0.400,0.895,0.417
16,0.000,0.000,0.000,0.200,0.400,0.600,0.895,0.494
16,0.000,0.000,0.000,0.200,0.400,0.800,0.895,0.485
16,0.000,0.000,0.000,0.200,0.400,1.000,0.895,0.472
16,0.000,0.000,0.000,0.200,0.600,0.000,0.895,0.186
16,0.000,0.000,0.000,0.200,0.600,0.200,0.895,0.259
16,0.000,0.000,0.000,0.200,0.600,0.400,0.895,0.357
16,0.000,0.000,0.000,0.200,0.600,0.600,0.895,0.456
16,0.000,0.000,0.000,0.200,0.600,0.800,0.895,0.497
16,0.000,0.000,0.000,0.200,0.600,1.000,0.895,0.490
16,0.000,0.000,0.000,0.200,0.800,0.000,0.895,0.191
16,0.000,0.000,0.000,0.200,0.800,0.200,0.895,0.242
16,0.000,0.000,0.000,0.200,0.800,0.400,0.895,0.321
16,0.000,0.000,0.000,0.200,0.800,0.600,0.895,0.400
16,0.000,0.000,0.000,0.200,0.800,0.800,0.895,0.479
