claimID,document_citation_count,document_influential_citation_count,author_paper_counts,author_citation_counts,author_h_indices,publish_date,majority,weighted
3,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000
3,0.000,0.000,0.000,0.000,0.000,0.200,0.500,0.254
3,0.000,0.000,0.000,0.000,0.000,0.400,0.500,0.254
3,0.000,0.000,0.000,0.000,0.000,0.600,0.500,0.254
3,0.000,0.000,0.000,0.000,0.000,0.800,0.500,0.254
3,0.000,0.000,0.000,0.000,0.000,1.000,0.500,0.254
3,0.000,0.000,0.000,0.000,0.200,0.000,0.500,0.135
3,0.000,0.000,0.000,0.000,0.200,0.200,0.500,0.300
3,0.000,0.000,0.000,0.000,0.200,0.400,0.500,0.282
3,0.000,0.000,0.000,0.000,0.200,0.600,0.500,0.275
3,0.000,0.000,0.000,0.000,0.200,0.800,0.500,0.271
3,0.000,0.000,0.000,0.000,0.200,1.000,0.500,0.268
3,0.000,0.000,0.000,0.000,0.400,0.000,0.500,0.135
3,0.000,0.000,0.000,0.000,0.400,0.200,0.500,0.262
3,0.000,0.000,0.000,0.000,0.400,0.400,0.500,0.300
3,0.000,0.000,0.000,0.000,0.400,0.600,0.500,0.289
3,0.000,0.000,0.000,0.000,0.400,0.800,0.500,0.282
3,0.000,0.000,0.000,0.000,0.400,1.000,0.500,0.278
3,0.000,0.000,0.000,0.000,0.600,0.000,0.500,0.135
3,0.000,0.000,0.000,0.000,0.600,0.200,0.500,0.220
3,0.000,0.000,0.000,0.000,0.600,0.400,0.500,0.305
3,0.000,0.000,0.000,0.000,0.600,0.600,0.500,0.300
3,0.000,0.000,0.000,0.000,0.600,0.800,0.500,0.292
3,0.000,0.000,0.000,0.000,0.600,1.000,0.500,0.286
3,0.000,0.000,0.000,0.000,0.800,0.000,0.500,0.135
3,0.000,0.000,0.000,0.000,0.800,0.200,0.500,0.199
3,0.000,0.000,0.000,0.000,0.800,0.400,0.500,0.262
3,0.000,0.000,0.000,0.000,0.800,0.600,0.500,0.310
3,0.000,0.000,0.000,0.000,0.800,0.800,0.500,0.300
3,0.000,0.000,0.000,0.000,0.800,1.000,0.500,0.294
3,0.000,0.000,0.000,0.000,1.000,0.000,0.500,0.135
3,0.000,0.000,0.000,0.000,1.000,0.200,0.500,0.186
3,0.000,0.000,0.000,0.000,1.000,0.400,0.500,0.237
3,0.000,0.000,0.000,0.000,1.000,0.600,0.500,0.288
3,0.000,0.000,0.000,0.000,1.000,0.800,0.500,0.308
3,0.000,0.000,0.000,0.000,1.000,1.000,0.500,0.300
3,0.000,0.000,0.000,0.200,0.000,0.000,0.500,0.057
3,0.000,0.000,0.000,0.200,0.000,0.200,0.500,0.306
3,0.000,0.000,0.000,0.200,0.000,0.400,0.500,0.282
3,0.000,0.000,0.000,0.200,0.000,0.600,0.500,0.273
3,0.000,0.000,0.000,0.200,0.000,0.800,0.500,0.268
3,0.000,0.000,0.000,0.200,0.000,1.000,0.500,0.266
3,0.000,0.000,0.000,0.200,0.200,0.000,0.500,0.096
3,0.000,0.000,0.000,0.200,0.200,0.200,0.500,0.223
3,0.000,0.000,0.000,0.200,0.200,0.400,0.500,0.303
3,0.000,0.000,0.000,0.200,0.200,0.600,0.500,0.289
3,0.000,0.000,0.000,0.200,0.200,0.800,0.500,0.282
3,0.000,0.000,0.000,0.200,0.200,1.000,0.500,0.278
3,0.000,0.000,0.000,0.200,0.400,0.000,0.500,0.109
3,0.000,0.000,0.000,0.200,0.400,0.200,0.500,0.194
3,0.000,0.000,0.000,0.200,0.400,0.400,0.500,0.279
3,0.000,0.000,0.000,0.200,0.400,0.600,0.500,0.302
3,0.000,0.000,0.000,0.200,0.400,0.800,0.500,0.293
3,0.000,0.000,0.000,0.200,0.400,1.000,0.500,0.286
3,0.000,0.000,0.000,0.200,0.600,0.000,0.500,0.116
3,0.000,0.000,0.000,0.200,0.600,0.200,0.500,0.179
3,0.000,0.000,0.000,0.200,0.600,0.400,0.500,0.243
3,0.000,0.000,0.000,0.200,0.600,0.600,0.500,0.306
3,0.000,0.000,0.000,0.200,0.600,0.800,0.500,0.302
3,0.000,0.000,0.000,0.200,0.600,1.000,0.500,0.294
3,0.000,0.000,0.000,0.200,0.800,0.000,0.500,0.120
3,0.000,0.000,0.000,0.200,0.800,0.200,0.500,0.170
3,0.000,0.000,0.000,0.200,0.800,0.400,0.500,0.221
3,0.000,0.000,0.000,0.200,0.800,0.600,0.500,0.272
3,0.000,0.000,0.000,0.200,0.800,0.800,0.500,0.310
3,0.000,0.000,0.000,0.200,0.800,1.000,0.500,0.301
3,0.000,0.000,0.000,0.200,1.000,0.000,0.500,0.122
3,0.000,0.000,0.000,0.200,1.000,0.200,0.500,0.165
3,0.000,0.000,0.000,0.200,1.000,0.400,0.500,0.207
3,0.000,0.000,0.000,0.200,1.000,0.600,0.500,0.249
3,0.000,0.000,0.000,0.200,1.000,0.800,0.500,0.292
3,0.000,0.000,0.000,0.200,1.000,1.000,0.500,0.308
3,0.000,0.000,0.000,0.400,0.000,0.000,0.500,0.057
3,0.000,0.000,0.000,0.400,0.000,0.200,0.500,0.184
3,0.000,0.000,0.000,0.400,0.000,0.400,0.500,0.306
3,0.000,0.000,0.000,0.400,0.000,0.600,0.500,0.290
3,0.000,0.000,0.000,0.400,0.000,0.800,0.500,0.282
3,0.000,0.000,0.000,0.400,0.000,1.000,0.500,0.277
3,0.000,0.000,0.000,0.400,0.200,0.000,0.500,0.083
3,0.000,0.000,0.000,0.400,0.200,0.200,0.500,0.168
3,0.000,0.000,0.000,0.400,0.200,0.400,0.500,0.253
3,0.000,0.000,0.000,0.400,0.200,0.600,0.500,0.304
3,0.000,0.000,0.000,0.400,0.200,0.800,0.500,0.293
3,0.000,0.000,0.000,0.400,0.200,1.000,0.500,0.287
3,0.000,0.000,0.000,0.400,0.400,0.000,0.500,0.096
3,0.000,0.000,0.000,0.400,0.400,0.200,0.500,0.160
3,0.000,0.000,0.000,0.400,0.400,0.400,0.500,0.223
3,0.000,0.000,0.000,0.400,0.400,0.600,0.500,0.287
3,0.000,0.000,0.000,0.400,0.400,0.800,0.500,0.303
3,0.000,0.000,0.000,0.400,0.400,1.000,0.500,0.295
3,0.000,0.000,0.000,0.400,0.600,0.000,0.500,0.104
3,0.000,0.000,0.000,0.400,0.600,0.200,0.500,0.155
3,0.000,0.000,0.000,0.400,0.600,0.400,0.500,0.206
3,0.000,0.000,0.000,0.400,0.600,0.600,0.500,0.257
3,0.000,0.000,0.000,0.400,0.600,0.800,0.500,0.307
3,0.000,0.000,0.000,0.400,0.600,1.000,0.500,0.302
3,0.000,0.000,0.000,0.400,0.800,0.000,0.500,0.109
3,0.000,0.000,0.000,0.400,0.800,0.200,0.500,0.152
3,0.000,0.000,0.000,0.400,0.800,0.400,0.500,0.194
3,0.000,0.000,0.000,0.400,0.800,0.600,0.500,0.236
3,0.000,0.000,0.000,0.400,0.800,0.800,0.500,0.279
3,0.000,0.000,0.000,0.400,0.800,1.000,0.500,0.309
3,0.000,0.000,0.000,0.400,1.000,0.000,0.500,0.113
3,0.000,0.000,0.000,0.400,1.000,0.200,0.500,0.149
3,0.000,0.000,0.000,0.400,1.000,0.400,0.500,0.186
3,0.000,0.000,0.000,0.400,1.000,0.600,0.500,0.222
3,0.000,0.000,0.000,0.400,1.000,0.800,0.500,0.258
3,0.000,0.000,0.000,0.400,1.000,1.000,0.500,0.294
3,0.000,0.000,0.000,0.600,0.000,0.000,0.500,0.057
3,0.000,0.000,0.000,0.600,0.000,0.200,0.500,0.142
3,0.000,0.000,0.000,0.600,0.000,0.400,0.500,0.227
3,0.000,0.000,0.000,0.600,0.000,0.600,0.500,0.306
3,0.000,0.000,0.000,0.600,0.000,0.800,0.500,0.294
3,0.000,0.000,0.000,0.600,0.000,1.000,0.500,0.287
3,0.000,0.000,0.000,0.600,0.200,0.000,0.500,0.077
3,0.000,0.000,0.000,0.600,0.200,0.200,0.500,0.140
3,0.000,0.000,0.000,0.600,0.200,0.400,0.500,0.204
3,0.000,0.000,0.000,0.600,0.200,0.600,0.500,0.267
3,0.000,0.000,0.000,0.600,0.200,0.800,0.500,0.304
3,0.000,0.000,0.000,0.600,0.200,1.000,0.500,0.296
3,0.000,0.000,0.000,0.600,0.400,0.000,0.500,0.088
3,0.000,0.000,0.000,0.600,0.400,0.200,0.500,0.139
3,0.000,0.000,0.000,0.600,0.400,0.400,0.500,0.190
3,0.000,0.000,0.000,0.600,0.400,0.600,0.500,0.241
3,0.000,0.000,0.000,0.600,0.400,0.800,0.500,0.292
3,0.000,0.000,0.000,0.600,0.400,1.000,0.500,0.304
