claimID,document_citation_count,document_influential_citation_count,author_paper_counts,author_citation_counts,author_h_indices,publish_date,majority,weighted
27,0.000,0.000,0.000,0.000,0.000,0.000,-0.800,0.000
27,0.000,0.000,0.000,0.000,0.000,0.200,-0.800,-0.144
27,0.000,0.000,0.000,0.000,0.000,0.400,-0.800,-0.144
27,0.000,0.000,0.000,0.000,0.000,0.600,-0.800,-0.144
27,0.000,0.000,0.000,0.000,0.000,0.800,-0.800,-0.144
27,0.000,0.000,0.000,0.000,0.000,1.000,-0.800,-0.144
27,0.000,0.000,0.000,0.000,0.200,0.000,-0.800,-0.265
27,0.000,0.000,0.000,0.000,0.200,0.200,-0.800,-0.361
27,0.000,0.000,0.000,0.000,0.200,0.400,-0.800,-0.259
27,0.000,0.000,0.000,0.000,0.200,0.600,-0.800,-0.222
27,0.000,0.000,0.000,0.000,0.200,0.800,-0.800,-0.203
27,0.000,0.000,0.000,0.000,0.200,1.000,-0.800,-0.192
27,0.000,0.000,0.000,0.000,0.400,0.000,-0.800,-0.265
27,0.000,0.000,0.000,0.000,0.400,0.200,-0.800,-0.337
27,0.000,0.000,0.000,0.000,0.400,0.400,-0.800,-0.361
27,0.000,0.000,0.000,0.000,0.400,0.600,-0.800,-0.294
27,0.000,0.000,0.000,0.000,0.400,0.800,-0.800,-0.259
27,0.000,0.000,0.000,0.000,0.400,1.000,-0.800,-0.237
27,0.000,0.000,0.000,0.000,0.600,0.000,-0.800,-0.265
27,0.000,0.000,0.000,0.000,0.600,0.200,-0.800,-0.313
27,0.000,0.000,0.000,0.000,0.600,0.400,-0.800,-0.361
27,0.000,0.000,0.000,0.000,0.600,0.600,-0.800,-0.361
27,0.000,0.000,0.000,0.000,0.600,0.800,-0.800,-0.311
27,0.000,0.000,0.000,0.000,0.600,1.000,-0.800,-0.280
27,0.000,0.000,0.000,0.000,0.800,0.000,-0.800,-0.265
27,0.000,0.000,0.000,0.000,0.800,0.200,-0.800,-0.301
27,0.000,0.000,0.000,0.000,0.800,0.400,-0.800,-0.337
27,0.000,0.000,0.000,0.000,0.800,0.600,-0.800,-0.373
27,0.000,0.000,0.000,0.000,0.800,0.800,-0.800,-0.361
27,0.000,0.000,0.000,0.000,0.800,1.000,-0.800,-0.322
27,0.000,0.000,0.000,0.000,1.000,0.000,-0.800,-0.265
27,0.000,0.000,0.000,0.000,1.000,0.200,-0.800,-0.294
27,0.000,0.000,0.000,0.000,1.000,0.400,-0.800,-0.323
27,0.000,0.000,0.000,0.000,1.000,0.600,-0.800,-0.352
27,0.000,0.000,0.000,0.000,1.000,0.800,-0.800,-0.380
27,0.000,0.000,0.000,0.000,1.000,1.000,-0.800,-0.361
27,0.000,0.000,0.000,0.200,0.000,0.000,-0.800,-0.167
27,0.000,0.000,0.000,0.200,0.000,0.200,-0.800,-0.302
27,0.000,0.000,0.000,0.200,0.000,0.400,-0.800,-0.224
27,0.000,0.000,0.000,0.200,0.000,0.600,-0.800,-0.198
27,0.000,0.000,0.000,0.200,0.000,0.800,-0.800,-0.184
27,0.000,0.000,0.000,0.200,0.000,1.000,-0.800,-0.176
27,0.000,0.000,0.000,0.200,0.200,0.000,-0.800,-0.216
27,0.000,0.000,0.000,0.200,0.200,0.200,-0.800,-0.288
27,0.000,0.000,0.000,0.200,0.200,0.400,-0.800,-0.333
27,0.000,0.000,0.000,0.200,0.200,0.600,-0.800,-0.273
27,0.000,0.000,0.000,0.200,0.200,0.800,-0.800,-0.242
27,0.000,0.000,0.000,0.200,0.200,1.000,-0.800,-0.223
27,0.000,0.000,0.000,0.200,0.400,0.000,-0.800,-0.232
27,0.000,0.000,0.000,0.200,0.400,0.200,-0.800,-0.280
27,0.000,0.000,0.000,0.200,0.400,0.400,-0.800,-0.328
27,0.000,0.000,0.000,0.200,0.400,0.600,-0.800,-0.342
27,0.000,0.000,0.000,0.200,0.400,0.800,-0.800,-0.296
27,0.000,0.000,0.000,0.200,0.400,1.000,-0.800,-0.267
27,0.000,0.000,0.000,0.200,0.600,0.000,-0.800,-0.241
27,0.000,0.000,0.000,0.200,0.600,0.200,-0.800,-0.277
27,0.000,0.000,0.000,0.200,0.600,0.400,-0.800,-0.313
27,0.000,0.000,0.000,0.200,0.600,0.600,-0.800,-0.349
27,0.000,0.000,0.000,0.200,0.600,0.800,-0.800,-0.347
27,0.000,0.000,0.000,0.200,0.600,1.000,-0.800,-0.310
27,0.000,0.000,0.000,0.200,0.800,0.000,-0.800,-0.246
27,0.000,0.000,0.000,0.200,0.800,0.200,-0.800,-0.274
27,0.000,0.000,0.000,0.200,0.800,0.400,-0.800,-0.303
27,0.000,0.000,0.000,0.200,0.800,0.600,-0.800,-0.332
27,0.000,0.000,0.000,0.200,0.800,0.800,-0.800,-0.361
27,0.000,0.000,0.000,0.200,0.800,1.000,-0.800,-0.350
27,0.000,0.000,0.000,0.200,1.000,0.000,-0.800,-0.249
27,0.000,0.000,0.000,0.200,1.000,0.200,-0.800,-0.273
27,0.000,0.000,0.000,0.200,1.000,0.400,-0.800,-0.297
27,0.000,0.000,0.000,0.200,1.000,0.600,-0.800,-0.321
27,0.000,0.000,0.000,0.200,1.000,0.800,-0.800,-0.345
27,0.000,0.000,0.000,0.200,1.000,1.000,-0.800,-0.369
27,0.000,0.000,0.000,0.400,0.000,0.000,-0.800,-0.167
27,0.000,0.000,0.000,0.400,0.000,0.200,-0.800,-0.239
27,0.000,0.000,0.000,0.400,0.000,0.400,-0.800,-0.302
27,0.000,0.000,0.000,0.400,0.000,0.600,-0.800,-0.250
27,0.000,0.000,0.000,0.400,0.000,0.800,-0.800,-0.224
27,0.000,0.000,0.000,0.400,0.000,1.000,-0.800,-0.208
27,0.000,0.000,0.000,0.400,0.200,0.000,-0.800,-0.200
27,0.000,0.000,0.000,0.400,0.200,0.200,-0.800,-0.248
27,0.000,0.000,0.000,0.400,0.200,0.400,-0.800,-0.296
27,0.000,0.000,0.000,0.400,0.200,0.600,-0.800,-0.323
27,0.000,0.000,0.000,0.400,0.200,0.800,-0.800,-0.280
27,0.000,0.000,0.000,0.400,0.200,1.000,-0.800,-0.254
27,0.000,0.000,0.000,0.400,0.400,0.000,-0.800,-0.216
27,0.000,0.000,0.000,0.400,0.400,0.200,-0.800,-0.252
27,0.000,0.000,0.000,0.400,0.400,0.400,-0.800,-0.288
27,0.000,0.000,0.000,0.400,0.400,0.600,-0.800,-0.324
27,0.000,0.000,0.000,0.400,0.400,0.800,-0.800,-0.333
27,0.000,0.000,0.000,0.400,0.400,1.000,-0.800,-0.297
27,0.000,0.000,0.000,0.400,0.600,0.000,-0.800,-0.226
27,0.000,0.000,0.000,0.400,0.600,0.200,-0.800,-0.255
27,0.000,0.000,0.000,0.400,0.600,0.400,-0.800,-0.283
