claimID,document_citation_count,document_influential_citation_count,author_paper_counts,author_citation_counts,author_h_indices,publish_date,majority,weighted
29,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
29,0.000,0.000,0.000,0.000,0.000,0.200,-1.000,-0.394
29,0.000,0.000,0.000,0.000,0.000,0.400,-1.000,-0.394
29,0.000,0.000,0.000,0.000,0.000,0.600,-1.000,-0.394
29,0.000,0.000,0.000,0.000,0.000,0.800,-1.000,-0.394
29,0.000,0.000,0.000,0.000,0.000,1.000,-1.000,-0.394
29,0.000,0.000,0.000,0.000,0.200,0.000,-1.000,-0.268
29,0.000,0.000,0.000,0.000,0.200,0.200,-1.000,-0.440
29,0.000,0.000,0.000,0.000,0.200,0.400,-1.000,-0.475
29,0.000,0.000,0.000,0.000,0.200,0.600,-1.000,-0.459
29,0.000,0.000,0.000,0.000,0.200,0.800,-1.000,-0.451
29,0.000,0.000,0.000,0.000,0.200,1.000,-1.000,-0.440
29,0.000,0.000,0.000,0.000,0.400,0.000,-1.000,-0.268
29,0.000,0.000,0.000,0.000,0.400,0.200,-1.000,-0.364
29,0.000,0.000,0.000,0.000,0.400,0.400,-1.000,-0.440
29,0.000,0.000,0.000,0.000,0.400,0.600,-1.000,-0.489
29,0.000,0.000,0.000,0.000,0.400,0.800,-1.000,-0.475
29,0.000,0.000,0.000,0.000,0.400,1.000,-1.000,-0.466
29,0.000,0.000,0.000,0.000,0.600,0.000,-1.000,-0.268
29,0.000,0.000,0.000,0.000,0.600,0.200,-1.000,-0.331
29,0.000,0.000,0.000,0.000,0.600,0.400,-1.000,-0.392
29,0.000,0.000,0.000,0.000,0.600,0.600,-1.000,-0.440
29,0.000,0.000,0.000,0.000,0.600,0.800,-1.000,-0.478
29,0.000,0.000,0.000,0.000,0.600,1.000,-1.000,-0.484
29,0.000,0.000,0.000,0.000,0.800,0.000,-1.000,-0.268
29,0.000,0.000,0.000,0.000,0.800,0.200,-1.000,-0.313
29,0.000,0.000,0.000,0.000,0.800,0.400,-1.000,-0.364
29,0.000,0.000,0.000,0.000,0.800,0.600,-1.000,-0.405
29,0.000,0.000,0.000,0.000,0.800,0.800,-1.000,-0.440
29,0.000,0.000,0.000,0.000,0.800,1.000,-1.000,-0.469
29,0.000,0.000,0.000,0.000,1.000,0.000,-1.000,-0.268
29,0.000,0.000,0.000,0.000,1.000,0.200,-1.000,-0.302
29,0.000,0.000,0.000,0.000,1.000,0.400,-1.000,-0.345
29,0.000,0.000,0.000,0.000,1.000,0.600,-1.000,-0.381
29,0.000,0.000,0.000,0.000,1.000,0.800,-1.000,-0.412
29,0.000,0.000,0.000,0.000,1.000,1.000,-1.000,-0.440
