claimID,document_citation_count,document_influential_citation_count,author_paper_counts,author_citation_counts,author_h_indices,publish_date,majority,weighted
34,0.000,0.000,0.000,0.000,0.000,0.000,-0.789,0.000
34,0.000,0.000,0.000,0.000,0.000,0.200,-0.789,-0.232
34,0.000,0.000,0.000,0.000,0.000,0.400,-0.789,-0.232
34,0.000,0.000,0.000,0.000,0.000,0.600,-0.789,-0.232
34,0.000,0.000,0.000,0.000,0.000,0.800,-0.789,-0.232
34,0.000,0.000,0.000,0.000,0.000,1.000,-0.789,-0.232
34,0.000,0.000,0.000,0.000,0.200,0.000,-0.789,-0.448
34,0.000,0.000,0.000,0.000,0.200,0.200,-0.789,-0.429
34,0.000,0.000,0.000,0.000,0.200,0.400,-0.789,-0.397
34,0.000,0.000,0.000,0.000,0.200,0.600,-0.789,-0.347
34,0.000,0.000,0.000,0.000,0.200,0.800,-0.789,-0.320
34,0.000,0.000,0.000,0.000,0.200,1.000,-0.789,-0.303
34,0.000,0.000,0.000,0.000,0.400,0.000,-0.789,-0.448
34,0.000,0.000,0.000,0.000,0.400,0.200,-0.789,-0.458
34,0.000,0.000,0.000,0.000,0.400,0.400,-0.789,-0.429
34,0.000,0.000,0.000,0.000,0.400,0.600,-0.789,-0.410
34,0.000,0.000,0.000,0.000,0.400,0.800,-0.789,-0.397
34,0.000,0.000,0.000,0.000,0.400,1.000,-0.789,-0.367
34,0.000,0.000,0.000,0.000,0.600,0.000,-0.789,-0.448
34,0.000,0.000,0.000,0.000,0.600,0.200,-0.789,-0.471
34,0.000,0.000,0.000,0.000,0.600,0.400,-0.789,-0.446
34,0.000,0.000,0.000,0.000,0.600,0.600,-0.789,-0.429
34,0.000,0.000,0.000,0.000,0.600,0.800,-0.789,-0.416
34,0.000,0.000,0.000,0.000,0.600,1.000,-0.789,-0.406
34,0.000,0.000,0.000,0.000,0.800,0.000,-0.789,-0.448
34,0.000,0.000,0.000,0.000,0.800,0.200,-0.789,-0.479
34,0.000,0.000,0.000,0.000,0.800,0.400,-0.789,-0.458
34,0.000,0.000,0.000,0.000,0.800,0.600,-0.789,-0.441
34,0.000,0.000,0.000,0.000,0.800,0.800,-0.789,-0.429
34,0.000,0.000,0.000,0.000,0.800,1.000,-0.789,-0.419
34,0.000,0.000,0.000,0.000,1.000,0.000,-0.789,-0.448
34,0.000,0.000,0.000,0.000,1.000,0.200,-0.789,-0.485
34,0.000,0.000,0.000,0.000,1.000,0.400,-0.789,-0.465
34,0.000,0.000,0.000,0.000,1.000,0.600,-0.789,-0.451
34,0.000,0.000,0.000,0.000,1.000,0.800,-0.789,-0.439
34,0.000,0.000,0.000,0.000,1.000,1.000,-0.789,-0.429
34,0.000,0.000,0.000,0.200,0.000,0.000,-0.789,-0.223
34,0.000,0.000,0.000,0.200,0.000,0.200,-0.789,-0.266
34,0.000,0.000,0.000,0.200,0.000,0.400,-0.789,-0.284
34,0.000,0.000,0.000,0.200,0.000,0.600,-0.789,-0.294
34,0.000,0.000,0.000,0.200,0.000,0.800,-0.789,-0.282
34,0.000,0.000,0.000,0.200,0.000,1.000,-0.789,-0.272
34,0.000,0.000,0.000,0.200,0.200,0.000,-0.789,-0.357
34,0.000,0.000,0.000,0.200,0.200,0.200,-0.789,-0.349
34,0.000,0.000,0.000,0.200,0.200,0.400,-0.789,-0.344
34,0.000,0.000,0.000,0.200,0.200,0.600,-0.789,-0.342
34,0.000,0.000,0.000,0.200,0.200,0.800,-0.789,-0.340
34,0.000,0.000,0.000,0.200,0.200,1.000,-0.789,-0.338
