claimID,c,theta,mu,beta,gamma,majority,weighted,weightedAfterAlgorithm
30,0.000,0.000,0.000,0.000,0.000,-0.538,-0.184,-0.276
30,0.000,0.000,0.000,0.000,0.200,-0.538,-0.184,-0.281
30,0.000,0.000,0.000,0.000,0.400,-0.538,-0.184,-0.285
30,0.000,0.000,0.000,0.000,0.600,-0.538,-0.184,-0.287
30,0.000,0.000,0.000,0.000,0.800,-0.538,-0.184,-0.288
30,0.000,0.000,0.000,0.000,1.000,-0.538,-0.184,-0.289
30,0.000,0.000,0.000,0.200,0.000,-0.538,-0.184,-0.237
30,0.000,0.000,0.000,0.200,0.200,-0.538,-0.184,-0.236
30,0.000,0.000,0.000,0.200,0.400,-0.538,-0.184,-0.234
30,0.000,0.000,0.000,0.200,0.600,-0.538,-0.184,-0.232
30,0.000,0.000,0.000,0.200,0.800,-0.538,-0.184,-0.229
30,0.000,0.000,0.000,0.200,1.000,-0.538,-0.184,-0.226
30,0.000,0.000,0.000,0.400,0.000,-0.538,-0.184,-0.235
30,0.000,0.000,0.000,0.400,0.200,-0.538,-0.184,-0.233
30,0.000,0.000,0.000,0.400,0.400,-0.538,-0.184,-0.232
30,0.000,0.000,0.000,0.400,0.600,-0.538,-0.184,-0.230
30,0.000,0.000,0.000,0.400,0.800,-0.538,-0.184,-0.227
30,0.000,0.000,0.000,0.400,1.000,-0.538,-0.184,-0.224
30,0.000,0.000,0.000,0.600,0.000,-0.538,-0.184,-0.235
30,0.000,0.000,0.000,0.600,0.200,-0.538,-0.184,-0.233
30,0.000,0.000,0.000,0.600,0.400,-0.538,-0.184,-0.231
30,0.000,0.000,0.000,0.600,0.600,-0.538,-0.184,-0.229
30,0.000,0.000,0.000,0.600,0.800,-0.538,-0.184,-0.227
30,0.000,0.000,0.000,0.600,1.000,-0.538,-0.184,-0.224
30,0.000,0.000,0.000,0.800,0.000,-0.538,-0.184,-0.236
30,0.000,0.000,0.000,0.800,0.200,-0.538,-0.184,-0.233
