claimID,c,theta,mu,beta,gamma,majority,weighted,weightedAfterAlgorithm
19,0.000,0.000,0.000,0.000,0.000,-0.556,-0.060,-0.026
19,0.000,0.000,0.000,0.000,0.200,-0.556,-0.060,-0.033
19,0.000,0.000,0.000,0.000,0.400,-0.556,-0.060,-0.034
19,0.000,0.000,0.000,0.000,0.600,-0.556,-0.060,-0.035
19,0.000,0.000,0.000,0.000,0.800,-0.556,-0.060,-0.035
19,0.000,0.000,0.000,0.000,1.000,-0.556,-0.060,-0.035
19,0.000,0.000,0.000,0.200,0.000,-0.556,-0.060,-0.023
19,0.000,0.000,0.000,0.200,0.200,-0.556,-0.060,-0.020
19,0.000,0.000,0.000,0.200,0.400,-0.556,-0.060,-0.016
19,0.000,0.000,0.000,0.200,0.600,-0.556,-0.060,-0.017
19,0.000,0.000,0.000,0.200,0.800,-0.556,-0.060,-0.020
19,0.000,0.000,0.000,0.200,1.000,-0.556,-0.060,-0.024
19,0.000,0.000,0.000,0.400,0.000,-0.556,-0.060,-0.022
19,0.000,0.000,0.000,0.400,0.200,-0.556,-0.060,-0.019
19,0.000,0.000,0.000,0.400,0.400,-0.556,-0.060,-0.017
19,0.000,0.000,0.000,0.400,0.600,-0.556,-0.060,-0.015
19,0.000,0.000,0.000,0.400,0.800,-0.556,-0.060,-0.013
19,0.000,0.000,0.000,0.400,1.000,-0.556,-0.060,-0.017
19,0.000,0.000,0.000,0.600,0.000,-0.556,-0.060,-0.021
19,0.000,0.000,0.000,0.600,0.200,-0.556,-0.060,-0.019
19,0.000,0.000,0.000,0.600,0.400,-0.556,-0.060,-0.017
19,0.000,0.000,0.000,0.600,0.600,-0.556,-0.060,-0.015
19,0.000,0.000,0.000,0.600,0.800,-0.556,-0.060,-0.013
19,0.000,0.000,0.000,0.600,1.000,-0.556,-0.060,-0.012
19,0.000,0.000,0.000,0.800,0.000,-0.556,-0.060,-0.020
19,0.000,0.000,0.000,0.800,0.200,-0.556,-0.060,-0.018
19,0.000,0.000,0.000,0.800,0.400,-0.556,-0.060,-0.016
19,0.000,0.000,0.000,0.800,0.600,-0.556,-0.060,-0.014
19,0.000,0.000,0.000,0.800,0.800,-0.556,-0.060,-0.012
19,0.000,0.000,0.000,0.800,1.000,-0.556,-0.060,-0.010
19,0.000,0.000,0.000,1.000,0.000,-0.556,-0.060,-0.019
19,0.000,0.000,0.000,1.000,0.200,-0.556,-0.060,-0.017
19,0.000,0.000,0.000,1.000,0.400,-0.556,-0.060,-0.015
19,0.000,0.000,0.000,1.000,0.600,-0.556,-0.060,-0.013
19,0.000,0.000,0.000,1.000,0.800,-0.556,-0.060,-0.011
19,0.000,0.000,0.000,1.000,1.000,-0.556,-0.060,-0.008
19,0.000,0.000,0.200,0.000,0.000,-0.556,-0.060,-0.042
19,0.000,0.000,0.200,0.000,0.200,-0.556,-0.060,-0.042
19,0.000,0.000,0.200,0.000,0.400,-0.556,-0.060,-0.040
19,0.000,0.000,0.200,0.000,0.600,-0.556,-0.060,-0.039
19,0.000,0.000,0.200,0.000,0.800,-0.556,-0.060,-0.038
19,0.000,0.000,0.200,0.000,1.000,-0.556,-0.060,-0.036
19,0.000,0.000,0.200,0.200,0.000,-0.556,-0.060,-0.022
19,0.000,0.000,0.200,0.200,0.200,-0.556,-0.060,-0.029
19,0.000,0.000,0.200,0.200,0.400,-0.556,-0.060,-0.028
19,0.000,0.000,0.200,0.200,0.600,-0.556,-0.060,-0.028
19,0.000,0.000,0.200,0.200,0.800,-0.556,-0.060,-0.027
19,0.000,0.000,0.200,0.200,1.000,-0.556,-0.060,-0.027
19,0.000,0.000,0.200,0.400,0.000,-0.556,-0.060,-0.021
19,0.000,0.000,0.200,0.400,0.200,-0.556,-0.060,-0.017
